"","code","cluster"
"1","E00056750",4
"2","E00056751",2
"3","E00056752",4
"4","E00056753",4
"5","E00056754",4
"6","E00056755",2
"7","E00056756",2
"8","E00056757",2
"9","E00056758",4
"10","E00056759",2
"11","E00056760",2
"12","E00056761",2
"13","E00056762",4
"14","E00056763",4
"15","E00056764",2
"16","E00056765",2
"17","E00056766",3
"18","E00056767",4
"19","E00056768",4
"20","E00056769",4
"21","E00056770",2
"22","E00056771",4
"23","E00056772",2
"24","E00056773",2
"25","E00056774",2
"26","E00056775",4
"27","E00056776",4
"28","E00056777",2
"29","E00056778",2
"30","E00056779",2
"31","E00056780",2
"32","E00056781",2
"33","E00056782",2
"34","E00056783",2
"35","E00056784",4
"36","E00056786",4
"37","E00056787",4
"38","E00056788",4
"39","E00056789",4
"40","E00056790",2
"41","E00056792",4
"42","E00056793",2
"43","E00056794",2
"44","E00056795",4
"45","E00056796",2
"46","E00056797",4
"47","E00056798",2
"48","E00056799",4
"49","E00056800",2
"50","E00056801",4
"51","E00056802",2
"52","E00056803",2
"53","E00056804",2
"54","E00056805",2
"55","E00056806",2
"56","E00056807",4
"57","E00056808",2
"58","E00056809",4
"59","E00056810",2
"60","E00056811",2
"61","E00056812",2
"62","E00056813",2
"63","E00056814",4
"64","E00056815",4
"65","E00056816",2
"66","E00056817",2
"67","E00056818",2
"68","E00056819",3
"69","E00056820",4
"70","E00056821",4
"71","E00056822",2
"72","E00056823",2
"73","E00056825",2
"74","E00056827",4
"75","E00056828",2
"76","E00056829",2
"77","E00056830",4
"78","E00056831",4
"79","E00056832",2
"80","E00056833",2
"81","E00056834",2
"82","E00056835",2
"83","E00056836",4
"84","E00056837",2
"85","E00056838",2
"86","E00056839",4
"87","E00056840",4
"88","E00056841",4
"89","E00056842",4
"90","E00056843",2
"91","E00056845",4
"92","E00056846",4
"93","E00056847",4
"94","E00056848",2
"95","E00056849",4
"96","E00056850",4
"97","E00056851",4
"98","E00056852",4
"99","E00056853",4
"100","E00056854",4
"101","E00056855",4
"102","E00056856",4
"103","E00056858",4
"104","E00056859",4
"105","E00056861",4
"106","E00056862",4
"107","E00056863",4
"108","E00056864",4
"109","E00056865",4
"110","E00056866",4
"111","E00056867",4
"112","E00056868",4
"113","E00056869",4
"114","E00056871",4
"115","E00056873",4
"116","E00056874",4
"117","E00056875",3
"118","E00056876",4
