OA,k001,k002,k003,k004,k005,k006,k008,k009,k010,k011,k012,k013,k014,k015,k016,k017,k018,k019,k020,k021,k022,k023,k024,k025,k026,k027,k028,k029,k030,k031,k032,k033,k034,k036,k037,k038,k039,k040,k041,k042,k043,k044,k045,k046,k047,k048,k049,k050,k051,k052,k053,k054,k055,k056,k057,k058,k059,k060,k061,k062,k063,k064,k065,k066,k067,k068,k069,k070,k071
E00056750,4.30,8.60,27.60,24.73,19.71,0.72,0.72,30.82,32.62,14.34,95.70,0.00,0.00,2.87,0.00,1.43,0.00,0.00,96.06,0.36,0.36,0.36,15.60,6.38,0.00,2.13,37.59,28.37,33.33,63.83,20.57,14.18,3.55,8.96,33.19,14.71,21.43,4.62,27.66,8.06,52.13,11.37,2.84,24.52,75.48,0.00,7.74,12.26,1.29,14.19,5.16,4.52,8.39,4.52,8.39,5.81,9.68,12.90,8.24,24.82,46.81,6.38,6.16,21.80,17.54,9.00,13.27,17.54,17.54
E00056751,8.78,12.16,31.42,26.35,11.15,0.34,0.00,19.59,46.28,7.77,96.62,1.35,0.00,1.69,0.00,0.00,0.00,0.34,98.65,0.68,0.00,0.00,25.45,10.91,0.00,9.09,59.09,33.64,0.00,93.64,0.91,5.45,2.73,7.09,43.42,15.35,25.00,4.39,50.91,7.08,58.02,10.38,1.89,28.74,71.26,0.00,10.78,9.58,0.00,21.56,2.40,2.99,14.97,5.99,4.19,5.99,11.98,5.99,2.36,12.73,15.45,7.27,16.51,24.06,21.23,9.43,7.08,14.62,8.49
E00056752,4.18,8.35,28.01,30.47,15.72,0.74,0.00,29.73,36.86,12.78,95.82,0.98,1.47,0.00,0.00,1.47,0.25,0.00,96.56,0.49,0.00,0.25,20.50,5.50,0.00,16.50,18.50,47.00,22.50,77.00,1.00,19.50,2.00,11.30,34.77,11.78,33.05,6.03,34.50,11.65,48.87,10.03,2.59,22.57,77.43,0.00,8.41,8.41,0.88,17.26,3.98,5.31,11.50,7.96,3.98,4.87,11.50,14.16,6.14,15.50,39.00,5.00,16.50,24.92,18.12,11.00,8.41,15.53,9.71
E00056753,2.03,2.85,18.70,18.29,44.72,5.28,12.60,26.83,26.42,19.51,97.56,1.63,0.00,0.00,0.00,0.00,0.81,0.00,95.53,0.41,1.63,0.41,10.64,4.26,0.00,0.00,8.51,26.24,70.92,26.24,42.55,28.37,9.93,9.35,28.21,7.26,14.10,2.56,6.38,10.07,30.20,12.75,6.04,24.72,75.28,0.00,6.74,7.87,1.12,16.85,6.74,10.11,6.74,5.62,6.74,2.25,5.62,14.61,23.17,46.81,61.70,0.00,5.37,26.85,20.13,14.09,13.42,36.91,26.85
E00056754,7.72,9.56,36.40,24.63,10.29,0.00,0.00,34.56,31.25,12.50,97.43,1.47,0.00,0.00,0.00,0.74,0.37,0.00,95.59,0.74,2.94,1.47,24.43,6.87,0.76,3.82,13.74,86.26,2.29,70.23,2.29,27.48,4.58,4.78,28.83,18.47,34.23,3.60,25.95,13.46,48.56,14.90,3.37,25.15,74.85,0.00,6.13,8.59,1.23,15.34,1.23,1.23,14.72,8.59,2.45,6.75,15.95,12.27,0.74,21.37,35.11,4.58,13.46,30.29,18.75,7.21,10.58,13.46,8.65
E00056755,5.13,13.14,33.33,26.92,15.06,0.32,0.00,23.72,38.78,13.46,98.72,0.96,0.00,0.32,0.00,0.00,0.00,0.00,96.79,0.64,2.24,0.00,23.33,8.67,0.00,15.33,43.33,18.00,25.33,61.33,20.67,16.00,6.00,11.22,34.25,10.63,29.53,2.36,34.00,9.70,50.63,6.75,2.53,22.75,77.25,0.00,4.19,11.38,1.20,20.96,4.19,3.59,9.58,6.59,2.99,9.58,10.78,13.77,8.65,18.67,36.67,2.67,9.70,28.69,16.03,9.70,4.22,19.41,12.24
E00056756,9.43,14.02,30.19,15.36,12.13,4.85,7.01,29.11,26.95,9.43,97.30,1.89,0.00,0.00,0.54,0.00,0.00,0.27,98.38,0.81,0.00,0.27,12.70,11.90,0.79,5.56,68.25,26.19,1.59,40.48,53.97,4.76,15.08,9.43,40.58,14.86,11.96,7.25,26.19,5.86,38.49,14.64,5.44,36.11,63.89,0.00,13.89,13.89,1.39,14.58,5.56,5.56,2.78,0.69,4.17,1.39,9.03,20.83,16.71,28.57,16.67,16.67,5.44,13.39,11.72,10.46,7.11,20.50,20.50
E00056757,7.88,10.27,27.05,28.08,12.67,0.68,0.00,22.95,43.49,10.96,93.49,1.03,0.00,1.37,0.00,2.05,0.00,2.05,94.52,0.34,0.00,2.05,20.83,10.83,0.00,50.00,36.67,14.17,0.83,81.67,2.50,15.83,3.33,9.93,33.48,20.17,25.32,5.58,43.33,5.94,55.25,6.39,3.20,26.14,73.86,0.00,11.11,11.76,0.65,16.34,1.96,2.61,9.15,7.84,2.61,9.15,9.80,13.07,7.19,11.67,25.83,9.17,10.50,26.94,23.74,8.22,10.05,12.33,6.39
E00056758,6.73,15.20,32.46,26.61,7.60,0.58,0.00,19.30,44.74,9.94,96.20,0.29,0.00,2.92,0.29,0.29,0.00,0.00,97.95,0.29,0.29,0.00,21.37,12.98,0.00,3.82,92.37,3.82,1.53,91.60,1.53,6.87,1.53,4.68,41.60,14.50,24.81,6.49,48.85,7.48,60.24,7.09,1.97,27.50,72.50,0.00,9.00,11.50,1.00,17.50,2.50,3.50,8.00,8.50,3.00,9.50,8.50,15.00,2.05,9.92,19.85,4.58,12.20,25.98,14.57,6.69,7.09,18.11,9.84
E00056759,7.06,10.59,31.76,28.24,9.41,0.00,0.00,26.27,43.14,8.63,97.65,1.57,0.00,0.00,0.00,0.39,0.39,0.00,96.08,0.39,1.18,0.00,27.88,20.19,0.00,15.38,67.31,18.27,0.00,85.58,0.00,13.46,0.96,5.88,36.71,15.94,26.57,1.93,47.12,7.07,68.18,6.06,1.52,26.67,73.33,0.00,7.88,7.27,2.42,21.82,6.06,1.21,10.91,10.30,4.85,4.24,9.70,8.48,3.53,4.81,15.38,7.69,9.60,26.26,21.72,9.60,8.59,16.67,7.07
E00056760,7.55,14.39,25.54,28.78,15.47,0.00,0.00,18.71,43.88,9.71,93.88,2.52,0.00,2.16,0.00,1.44,0.00,0.00,96.40,0.36,0.00,0.36,21.74,7.83,0.00,12.17,54.78,30.43,5.22,81.74,7.83,8.70,0.00,13.31,40.93,9.77,31.16,6.05,38.26,7.73,51.21,7.25,2.42,27.97,72.03,0.00,6.99,6.99,0.70,13.29,6.29,4.90,11.19,10.49,4.20,4.90,12.59,13.99,2.88,17.39,25.22,9.57,12.56,21.26,22.22,10.63,7.73,13.04,8.21
